bug_id,num_hunks
Jsoup_12,2
Jsoup_14,2
Jsoup_16,3
Jsoup_18,2
Jsoup_21,3
Jsoup_22,6
Jsoup_23,2
Jsoup_28,6
Jsoup_29,2
Jsoup_30,3
Jsoup_31,3
Jsoup_36,4
Jsoup_42,2
Jsoup_50,2
Jsoup_52,4
Jsoup_56,10
Jsoup_58,4
Jsoup_59,2
Jsoup_60,2
Jsoup_63,5
Jsoup_65,3
Jsoup_66,2
Jsoup_67,2
Jsoup_71,3
Jsoup_73,4
Jsoup_74,2
Jsoup_78,2
Jsoup_79,2
Jsoup_81,2
Jsoup_83,4
Jsoup_87,47
Jsoup_91,3
Jsoup_92,8
JxPath_1,2
JxPath_2,4
JxPath_3,4
JxPath_4,7
JxPath_7,7
JxPath_9,5
JxPath_11,5
JxPath_13,11
JxPath_15,2
JxPath_16,2
JxPath_17,5
JxPath_18,4
JxPath_19,3
JxPath_20,2
Lang_4,3
Lang_5,2
Lang_7,2
Lang_8,3
Lang_13,3
Lang_15,2
Lang_19,3
Lang_20,2
Lang_23,2
Lang_27,2
Lang_30,7
Lang_32,4
Lang_34,2
Lang_35,2
Lang_36,2
Lang_41,3
Lang_46,7
Lang_47,2
Lang_50,2
Lang_56,2
Lang_60,2
Lang_62,2
Lang_63,2
Lang_64,2
Lang_65,3
Math_1,2
Math_4,2
Math_6,12
Math_7,2
Math_12,2
Math_14,2
Math_15,2
Math_16,3
Math_18,3
Math_21,3
Math_22,2
Math_23,3
Math_24,2
Math_26,2
Math_28,4
Math_29,2
Math_31,3
Math_35,2
Math_36,2
Math_37,2
Math_38,2
Math_44,3
Math_46,2
Math_47,4
Math_49,4
Math_52,2
Math_54,2
Math_55,2
Math_61,2
Math_62,2
Math_64,10
Math_65,2
Math_66,6
Math_68,5
Math_71,2
Math_72,2
Math_76,2
Math_77,2
Math_78,2
Math_81,3
Math_83,2
Math_84,2
Math_86,2
Math_90,2
Math_92,3
Math_93,3
Math_98,2
Math_99,2
Math_100,2
Math_106,2
Mockito_2,3
Mockito_3,2
Mockito_4,3
Mockito_6,20
Mockito_9,2
Mockito_10,3
Mockito_14,4
Mockito_15,2
Mockito_16,3
Mockito_17,4
Mockito_19,9
Mockito_20,2
Mockito_21,2
Mockito_23,5
Mockito_25,5
Mockito_30,2
Mockito_31,2
Mockito_32,2
Mockito_35,3
Mockito_36,2
Time_1,2
Time_2,3
Time_3,10
Time_6,3
Time_9,3
Time_10,2
Time_12,4
Time_13,3
Time_23,2
Time_26,8
