LLM,BUG_ID
Mistral-2407,Lang-47
Mistral-2407,Lang-50
Mistral-2407,Lang-60
Mistral-2407,Lang-62
Mistral-2407,Lang-63
Mistral-2407,Math-4
Mistral-2407,Math-7
Mistral-2407,Math-35
Mistral-2407,Math-62
Mistral-2407,Math-65
Mistral-2407,Math-72
Mistral-2407,Math-90
Mistral-2407,Math-98
Mistral-2407,Math-106
Mistral-2407,Time-3
Mistral-2407,Time-12
Nova-pro,Chart-4
Nova-pro,Chart-14
Nova-pro,Chart-15
Nova-pro,Chart-19
Nova-pro,Chart-25
Nova-pro,Closure-9
Nova-pro,Closure-79
Nova-pro,Closure-80
Nova-pro,Compress-4
Nova-pro,Compress-11
Nova-pro,JacksonCore-1
Nova-pro,JacksonCore-9
Nova-pro,JacksonDatabind-3
Nova-pro,JacksonDatabind-61
Nova-pro,JacksonDatabind-65
Nova-pro,Jsoup-4
Nova-pro,Jsoup-42
Nova-pro,Jsoup-59
Nova-pro,Lang-7
Nova-pro,Lang-35
Nova-pro,Lang-60
Nova-pro,Lang-62
Nova-pro,Math-4
Nova-pro,Math-22
Nova-pro,Math-35
Nova-pro,Math-65
Nova-pro,Math-72
Nova-pro,Math-86
Nova-pro,Math-98
Nova-pro,Math-100
Nova-pro,Math-106
Nova-pro,Time-3
Nova-pro,Time-12
o4-mini,Chart-4
o4-mini,Chart-14
o4-mini,Chart-15
o4-mini,Chart-16
o4-mini,Chart-18
o4-mini,Chart-19
o4-mini,Chart-25
o4-mini,Cli-7
o4-mini,Cli-26
o4-mini,Cli-34
o4-mini,Cli-36
o4-mini,Closure-3
o4-mini,Closure-6
o4-mini,Closure-39
o4-mini,Closure-41
o4-mini,Closure-45
o4-mini,Closure-50
o4-mini,Closure-51
o4-mini,Closure-53
o4-mini,Closure-75
o4-mini,Closure-79
o4-mini,Closure-80
o4-mini,Closure-105
o4-mini,Closure-143
o4-mini,Closure-171
o4-mini,Codec-1
o4-mini,Codec-8
o4-mini,Compress-6
o4-mini,Compress-11
o4-mini,Compress-35
o4-mini,Csv-8
o4-mini,Csv-13
o4-mini,Gson-7
o4-mini,Gson-9
o4-mini,Gson-14
o4-mini,JacksonCore-1
o4-mini,JacksonCore-9
o4-mini,JacksonCore-19
o4-mini,JacksonCore-21
o4-mini,JacksonDatabind-3
o4-mini,JacksonDatabind-4
o4-mini,JacksonDatabind-6
o4-mini,JacksonDatabind-8
o4-mini,JacksonDatabind-13
o4-mini,JacksonDatabind-25
o4-mini,JacksonDatabind-29
o4-mini,JacksonDatabind-32
o4-mini,JacksonDatabind-41
o4-mini,JacksonDatabind-48
o4-mini,JacksonDatabind-54
o4-mini,JacksonDatabind-61
o4-mini,JacksonDatabind-65
o4-mini,JacksonDatabind-77
o4-mini,JacksonDatabind-90
o4-mini,Jsoup-18
o4-mini,Jsoup-23
o4-mini,Jsoup-42
o4-mini,Jsoup-50
o4-mini,Jsoup-59
o4-mini,Jsoup-81
o4-mini,Jsoup-83
o4-mini,JxPath-1
o4-mini,JxPath-16
o4-mini,Lang-7
o4-mini,Lang-19
o4-mini,Lang-27
o4-mini,Lang-35
o4-mini,Lang-36
o4-mini,Lang-41
o4-mini,Lang-47
o4-mini,Lang-50
o4-mini,Lang-56
o4-mini,Lang-60
o4-mini,Lang-62
o4-mini,Math-4
o4-mini,Math-7
o4-mini,Math-22
o4-mini,Math-23
o4-mini,Math-24
o4-mini,Math-26
o4-mini,Math-29
o4-mini,Math-35
o4-mini,Math-37
o4-mini,Math-49
o4-mini,Math-52
o4-mini,Math-61
o4-mini,Math-65
o4-mini,Math-72
o4-mini,Math-78
o4-mini,Math-84
o4-mini,Math-86
o4-mini,Math-92
o4-mini,Math-93
o4-mini,Math-98
o4-mini,Math-99
o4-mini,Math-100
o4-mini,Math-106
o4-mini,Time-3
o4-mini,Time-13
o4-mini,Time-23
Gemini-2.5,Chart-4
Gemini-2.5,Chart-14
Gemini-2.5,Chart-15
Gemini-2.5,Chart-16
Gemini-2.5,Chart-19
Gemini-2.5,Chart-25
Gemini-2.5,Cli-26
Gemini-2.5,Cli-34
Gemini-2.5,Closure-6
Gemini-2.5,Closure-39
Gemini-2.5,Closure-79
Gemini-2.5,Closure-80
Gemini-2.5,Codec-1
Gemini-2.5,Codec-8
Gemini-2.5,Compress-6
Gemini-2.5,JacksonDatabind-4
Gemini-2.5,JacksonDatabind-41
Gemini-2.5,JacksonDatabind-48
Gemini-2.5,JacksonDatabind-61
Gemini-2.5,JacksonDatabind-65
Gemini-2.5,JacksonDatabind-90
Gemini-2.5,Jsoup-18
Gemini-2.5,Jsoup-23
Gemini-2.5,Jsoup-42
Gemini-2.5,Jsoup-59
Gemini-2.5,JxPath-1
Gemini-2.5,JxPath-16
Gemini-2.5,JxPath-20
Gemini-2.5,Lang-7
Gemini-2.5,Lang-35
Gemini-2.5,Lang-47
Gemini-2.5,Lang-50
Gemini-2.5,Lang-56
Gemini-2.5,Lang-60
Gemini-2.5,Lang-62
Gemini-2.5,Lang-64
Gemini-2.5,Math-4
Gemini-2.5,Math-7
Gemini-2.5,Math-15
Gemini-2.5,Math-22
Gemini-2.5,Math-23
Gemini-2.5,Math-26
Gemini-2.5,Math-35
Gemini-2.5,Math-72
Gemini-2.5,Math-77
Gemini-2.5,Math-86
Gemini-2.5,Math-90
Gemini-2.5,Math-98
Gemini-2.5,Math-100
Gemini-2.5,Time-3
