LLM,BUG_ID
Llama3.2,Lang-60
Llama3.2,Math-4
Llama3.2,Math-23
Llama3.2,Math-26
Llama3.2,Math-35
Llama3.2,Math-38
Llama3.2,Math-72
Llama3.2,Math-86
Llama3.2,Math-98
Llama3.2,Time-3
Llama3.2,Time-12
Llama3.2,Time-23
GPT-4.1,Chart-4
GPT-4.1,Chart-14
GPT-4.1,Chart-15
GPT-4.1,Chart-16
GPT-4.1,Chart-19
GPT-4.1,Chart-25
GPT-4.1,Cli-10
GPT-4.1,Cli-14
GPT-4.1,Cli-26
GPT-4.1,Cli-34
GPT-4.1,Cli-36
GPT-4.1,Closure-6
GPT-4.1,Closure-41
GPT-4.1,Closure-51
GPT-4.1,Closure-53
GPT-4.1,Closure-79
GPT-4.1,Closure-80
GPT-4.1,Closure-115
GPT-4.1,Compress-6
GPT-4.1,Compress-11
GPT-4.1,Csv-8
GPT-4.1,Gson-7
GPT-4.1,Gson-9
GPT-4.1,Gson-14
GPT-4.1,JacksonCore-9
GPT-4.1,JacksonCore-17
GPT-4.1,JacksonCore-19
GPT-4.1,JacksonDatabind-13
GPT-4.1,JacksonDatabind-32
GPT-4.1,JacksonDatabind-41
GPT-4.1,JacksonDatabind-43
GPT-4.1,JacksonDatabind-48
GPT-4.1,JacksonDatabind-61
GPT-4.1,JacksonDatabind-65
GPT-4.1,JacksonDatabind-90
GPT-4.1,JacksonXml-1
GPT-4.1,Jsoup-4
GPT-4.1,Jsoup-23
GPT-4.1,Jsoup-42
GPT-4.1,Jsoup-50
GPT-4.1,Jsoup-59
GPT-4.1,Jsoup-83
GPT-4.1,JxPath-1
GPT-4.1,JxPath-16
GPT-4.1,Lang-5
GPT-4.1,Lang-7
GPT-4.1,Lang-13
GPT-4.1,Lang-27
GPT-4.1,Lang-35
GPT-4.1,Lang-36
GPT-4.1,Lang-41
GPT-4.1,Lang-47
GPT-4.1,Lang-50
GPT-4.1,Lang-56
GPT-4.1,Lang-60
GPT-4.1,Lang-62
GPT-4.1,Math-1
GPT-4.1,Math-4
GPT-4.1,Math-7
GPT-4.1,Math-14
GPT-4.1,Math-22
GPT-4.1,Math-23
GPT-4.1,Math-24
GPT-4.1,Math-29
GPT-4.1,Math-35
GPT-4.1,Math-49
GPT-4.1,Math-62
GPT-4.1,Math-64
GPT-4.1,Math-65
GPT-4.1,Math-72
GPT-4.1,Math-77
GPT-4.1,Math-78
GPT-4.1,Math-81
GPT-4.1,Math-86
GPT-4.1,Math-90
GPT-4.1,Math-92
GPT-4.1,Math-93
GPT-4.1,Math-98
GPT-4.1,Math-99
GPT-4.1,Math-106
GPT-4.1,Time-3
GPT-4.1,Time-23
o4-mini,Chart-4
o4-mini,Chart-14
o4-mini,Chart-15
o4-mini,Chart-16
o4-mini,Chart-18
o4-mini,Chart-19
o4-mini,Chart-25
o4-mini,Cli-7
o4-mini,Cli-26
o4-mini,Cli-34
o4-mini,Cli-36
o4-mini,Closure-3
o4-mini,Closure-6
o4-mini,Closure-39
o4-mini,Closure-41
o4-mini,Closure-45
o4-mini,Closure-50
o4-mini,Closure-51
o4-mini,Closure-53
o4-mini,Closure-75
o4-mini,Closure-79
o4-mini,Closure-80
o4-mini,Closure-105
o4-mini,Closure-143
o4-mini,Closure-171
o4-mini,Codec-1
o4-mini,Codec-8
o4-mini,Compress-6
o4-mini,Compress-11
o4-mini,Compress-35
o4-mini,Csv-8
o4-mini,Csv-13
o4-mini,Gson-7
o4-mini,Gson-9
o4-mini,Gson-14
o4-mini,JacksonCore-1
o4-mini,JacksonCore-9
o4-mini,JacksonCore-19
o4-mini,JacksonCore-21
o4-mini,JacksonDatabind-3
o4-mini,JacksonDatabind-4
o4-mini,JacksonDatabind-6
o4-mini,JacksonDatabind-8
o4-mini,JacksonDatabind-13
o4-mini,JacksonDatabind-25
o4-mini,JacksonDatabind-29
o4-mini,JacksonDatabind-32
o4-mini,JacksonDatabind-41
o4-mini,JacksonDatabind-48
o4-mini,JacksonDatabind-54
o4-mini,JacksonDatabind-61
o4-mini,JacksonDatabind-65
o4-mini,JacksonDatabind-77
o4-mini,JacksonDatabind-90
o4-mini,Jsoup-18
o4-mini,Jsoup-23
o4-mini,Jsoup-42
o4-mini,Jsoup-50
o4-mini,Jsoup-59
o4-mini,Jsoup-81
o4-mini,Jsoup-83
o4-mini,JxPath-1
o4-mini,JxPath-16
o4-mini,Lang-7
o4-mini,Lang-19
o4-mini,Lang-27
o4-mini,Lang-35
o4-mini,Lang-36
o4-mini,Lang-41
o4-mini,Lang-47
o4-mini,Lang-50
o4-mini,Lang-56
o4-mini,Lang-60
o4-mini,Lang-62
o4-mini,Math-4
o4-mini,Math-7
o4-mini,Math-22
o4-mini,Math-23
o4-mini,Math-24
o4-mini,Math-26
o4-mini,Math-29
o4-mini,Math-35
o4-mini,Math-37
o4-mini,Math-49
o4-mini,Math-52
o4-mini,Math-61
o4-mini,Math-65
o4-mini,Math-72
o4-mini,Math-78
o4-mini,Math-84
o4-mini,Math-86
o4-mini,Math-92
o4-mini,Math-93
o4-mini,Math-98
o4-mini,Math-99
o4-mini,Math-100
o4-mini,Math-106
o4-mini,Time-3
o4-mini,Time-13
o4-mini,Time-23
Gemini-2.5,Chart-4
Gemini-2.5,Chart-14
Gemini-2.5,Chart-15
Gemini-2.5,Chart-16
Gemini-2.5,Chart-19
Gemini-2.5,Chart-25
Gemini-2.5,Cli-26
Gemini-2.5,Cli-34
Gemini-2.5,Closure-6
Gemini-2.5,Closure-39
Gemini-2.5,Closure-79
Gemini-2.5,Closure-80
Gemini-2.5,Codec-1
Gemini-2.5,Codec-8
Gemini-2.5,Compress-6
Gemini-2.5,JacksonDatabind-4
Gemini-2.5,JacksonDatabind-41
Gemini-2.5,JacksonDatabind-48
Gemini-2.5,JacksonDatabind-61
Gemini-2.5,JacksonDatabind-65
Gemini-2.5,JacksonDatabind-90
Gemini-2.5,Jsoup-18
Gemini-2.5,Jsoup-23
Gemini-2.5,Jsoup-42
Gemini-2.5,Jsoup-59
Gemini-2.5,JxPath-1
Gemini-2.5,JxPath-16
Gemini-2.5,JxPath-20
Gemini-2.5,Lang-7
Gemini-2.5,Lang-35
Gemini-2.5,Lang-47
Gemini-2.5,Lang-50
Gemini-2.5,Lang-56
Gemini-2.5,Lang-60
Gemini-2.5,Lang-62
Gemini-2.5,Lang-64
Gemini-2.5,Math-4
Gemini-2.5,Math-7
Gemini-2.5,Math-15
Gemini-2.5,Math-22
Gemini-2.5,Math-23
Gemini-2.5,Math-26
Gemini-2.5,Math-35
Gemini-2.5,Math-72
Gemini-2.5,Math-77
Gemini-2.5,Math-86
Gemini-2.5,Math-90
Gemini-2.5,Math-98
Gemini-2.5,Math-100
Gemini-2.5,Time-3
